id	mac	vlan	innerVlan	outerTpid	configured	suspended	ipAddresses	locations
00:00:00:00:00:1F/None	00:00:00:00:00:1F	None	None	0x0000	False	False	['10.0.0.31']	[{'elementId': 'of:000000000000001f', 'port': '4'}]
00:00:00:00:00:31/None	00:00:00:00:00:31	None	None	0x0000	False	False	['10.0.0.49']	[{'elementId': 'of:000000000000000a', 'port': '3'}]
00:00:00:00:00:14/None	00:00:00:00:00:14	None	None	0x0000	False	False	['10.0.0.20']	[{'elementId': 'of:0000000000000028', 'port': '3'}]
00:00:00:00:00:28/None	00:00:00:00:00:28	None	None	0x0000	False	False	['10.0.0.40']	[{'elementId': 'of:0000000000000028', 'port': '4'}]
00:00:00:00:00:19/None	00:00:00:00:00:19	None	None	0x0000	False	False	['10.0.0.25']	[{'elementId': 'of:0000000000000019', 'port': '4'}]
00:00:00:00:00:0F/None	00:00:00:00:00:0F	None	None	0x0000	False	False	['10.0.0.15']	[{'elementId': 'of:0000000000000023', 'port': '3'}]
00:00:00:00:00:10/None	00:00:00:00:00:10	None	None	0x0000	False	False	['10.0.0.16']	[{'elementId': 'of:0000000000000024', 'port': '3'}]
00:00:00:00:00:41/None	00:00:00:00:00:41	None	None	0x0000	False	False	['10.0.0.65']	[{'elementId': 'of:0000000000000018', 'port': '2'}]
00:00:00:00:00:26/None	00:00:00:00:00:26	None	None	0x0000	False	False	['10.0.0.38']	[{'elementId': 'of:0000000000000026', 'port': '4'}]
00:00:00:00:00:12/None	00:00:00:00:00:12	None	None	0x0000	False	False	['10.0.0.18']	[{'elementId': 'of:0000000000000026', 'port': '3'}]
00:00:00:00:00:43/None	00:00:00:00:00:43	None	None	0x0000	False	False	['10.0.0.67']	[{'elementId': 'of:000000000000001a', 'port': '2'}]
00:00:00:00:00:0D/None	00:00:00:00:00:0D	None	None	0x0000	False	False	['10.0.0.13']	[{'elementId': 'of:0000000000000021', 'port': '3'}]
00:00:00:00:00:55/None	00:00:00:00:00:55	None	None	0x0000	False	False	['10.0.0.85']	[{'elementId': 'of:0000000000000011', 'port': '3'}]
00:00:00:00:00:24/None	00:00:00:00:00:24	None	None	0x0000	False	False	['10.0.0.36']	[{'elementId': 'of:0000000000000024', 'port': '4'}]
00:00:00:00:00:2A/None	00:00:00:00:00:2A	None	None	0x0000	False	False	['10.0.0.42']	[{'elementId': 'of:000000000000000f', 'port': '4'}]
00:00:00:00:00:3E/None	00:00:00:00:00:3E	None	None	0x0000	False	False	['10.0.0.62']	[{'elementId': 'of:0000000000000015', 'port': '2'}]
